id, Name, Project_id, class, score
500, Колубелова Екатерина Егоровна, 23639, 11г, 4
499, Подстрехин Семён Валериевич, 93320, 10т, 3
498, Котарев Кирилл Валериевич, 16441, 8а, 2
497, Ярошинский Анатолий Кириллович, 78797, 1я, 2
496, Моргухова Елизавета Петровна, 16232, 4ю, 3
495, Житов Илья Виталиевич, 18990, 5д, 3
494, Семикин Павел Денисович, 47612, 8р, 5
493, Понкрашкин Геннадий Антонович, 22610, 6к, 3
492, Ревина Виолетта Аркадьевна, 28482, 6б, 5
491, Камкова Клавдия Вадимовна, 12993, 10б, 3
490, Волосных Константин Михаилович, 17459, 5ж, 2
489, Чихарева Виктория Никитична, 96537, 8а, 3
488, Михуткин Григорий Андреевич, 88663, 6й, 3
487, Мокарцов Алексей Яковлевич, 55129, 10б, 2
486, Слагаева Виолетта Сергеевна, 38664, 8ж, 5
485, Тхагалегов Игорь Павлович, 5341, 2а, None
484, Ломцов Кирилл Денисович, 85676, 9у, 3
483, Шлионская Лиза Никитична, 52183, 6к, 5
482, Суровежкин Константин Антонович, 81751, 9я, None
481, Месоедова Клавдия Игоревна, 8022, 11п, 5
480, Товарнов Вячеслав Кириллович, 55441, 8р, 2
479, Чуботина София Андреевна, 31048, 7и, 4
478, Гнучева Вероника Андреевна, 68206, 1з, 4
477, Чупыгин Эдуард Евгеньевич, 68263, 10п, 3
476, Енгаычев Степан Евгеньевич, 47706, 10с, 3
475, Шемберов Виктор Олегович, 33992, 4ч, None
474, Сажнова Анастасия Богдановна, 212, 6ж, 3
473, Айкина Тамара Олеговна, 3304, 9т, 2
472, Ливенский Ярослав Петрович, 10525, 2з, 3
471, Шуркина Ева Яковлевна, 14176, 8м, 5
470, Елонцева Ольга Михайловна, 52464, 6э, None
469, Зубоярова Катерина Николаевна, 1125, 4э, 2
468, Мусланова Полина Кирилловна, 57136, 7я, 4
467, Ромейкин Олег Антонович, 68000, 5и, 5
466, Горшнева Людмила Леонидовна, 23866, 11в, 3
465, Шлейнин Василий Фёдорович, 86598, 10ж, None
464, Погонышева Кира Кирилловна, 6859, 6у, 2
463, Бордзов Константин Георгиевич, 53296, 10э, 4
462, Лисеская Оксана Викторовна, 70997, 6д, 4
461, Карнизов Юрий Фёдорович, 463, 4ф, 5
460, Башлавина Галина Федоровна, 78196, 2а, 5
459, Клубничкин Валентин Аркадиевич, 12221, 11г, None
458, Асавкина Ева Игоревна, 39100, 8н, None
457, Балмашов Семён Михаилович, 35755, 5у, None
456, Потемнов Антон Виталиевич, 1567, 6т, 3
455, Марыскин Федор Викторович, 59557, 2ч, 2
454, Саворцева Александра Василевна, 73405, 3ч, None
453, Досекин Валерий Фёдорович, 9792, 1ю, 5
452, Дехтярев Федор Василиевич, 56145, 11п, 4
451, Аллаева Ирина Игоревна, 74106, 10п, 4
450, Датилова Ева Романовна, 74792, 10д, None
449, Поляткова Елизавета Кирилловна, 4980, 9х, 2
448, Шафанецкая Валентина Максимовна, 80189, 7ц, 2
447, Аксиньин Яков Николаевич, 77487, 7ч, 2
446, Шестарева Надежда Ивановна, 70930, 10ц, 3
445, Корзихина Тамара Николаевна, 48795, 8х, 2
444, Юдакина Ева Дмитриевна, 71788, 10а, 4
443, Ярошкин Максим Кириллович, 1018, 10б, 4
442, Илышев Геннадий Сергеевич, 21146, 1к, 2
441, Чивикова Наталия Романовна, 8613, 11а, 4
440, Губичев Роман Леонидович, 13139, 3з, 5
439, Голонков Георгий Алексеевич, 69387, 10ш, 5
438, Гамольский Илья Кириллович, 3914, 9ц, 3
437, Гусаркова Лиза Андреевна, 30947, 5в, 4
436, Балузина Маргарита Яковлевна, 16941, 10ж, 3
435, Чичиткиева Анастасия Игоревна, 5284, 4р, 3
434, Гудовичева Ксения Михайловна, 64655, 6ч, 3
433, Бобрусева Яна Сергеевна, 33541, 8р, None
432, Капачев Игорь Яковлевич, 9264, 5о, 5
431, Турецкова Вера Никитична, 89611, 4з, None
430, Горынцев Алексей Тимофеевич, 28872, 2л, 4
429, Бабылина Лиза Романовна, 60649, 7й, 3
428, Руевская Екатерина Евгеньевна, 94142, 8м, 5
427, Бочагина Алла Олеговна, 6967, 1б, 5
426, Михайлусов Борис Фёдорович, 36610, 8х, 3
425, Киницына Инна Романовна, 82549, 7й, 5
424, Шмуликина Лиза Ивановна, 12169, 3ю, 3
423, Рашидов Валерий Евгеньевич, 62133, 8э, None
422, Говшина Алла Сергеевна, 52715, 11п, 5
421, Лиханова Наталия Федоровна, 19579, 7ю, None
420, Летупов Григорий Петрович, 51397, 9ж, 5
419, Куранова Алёна Яковлевна, 17285, 3о, 3
418, Окарокова Надежда Викторовна, 74195, 9м, 4
417, Наторова Тамара Алексеевна, 9335, 3з, 4
416, Шканова Анастасия Ивановна, 99601, 3э, 3
415, Папушкин Игорь Фёдорович, 33306, 1ч, 3
414, Брусницин Эдуард Аркадиевич, 56898, 8о, 3
413, Зловедова Катерина Викторовна, 13775, 6а, 2
412, Сапрошина София Олеговна, 30881, 5а, 5
